@id,count
0013-9580,1051
0013-9661,44
0013-9696,153
0013-970X,74
0014-0015,60
0014-0082,139
0014-0139,599
0014-0309,112
0014-0481,123
0014-0759,680
0014-0856,94
0014-1496,66
0014-1704,327
0014-1801,243
0014-1836,156
0014-1844,151
0014-2026,68
0014-2085,82
0014-2115,144
0014-2123,191
0014-214X,85
0014-2166,106
0014-2204,55
0014-2239,122
0014-2247,69
0014-2336,753
0014-2565,476
0014-2808,108
0014-2921,414
0014-2972,498
0014-2980,1195
0014-2999,2049
0014-3006,105
0014-3022,369
0014-3057,1381
0014-3065,80
0014-312X,116
0014-3502,20
0014-3820,802
0014-3855,247
0014-4029,102
0014-4797,166
0014-4800,485
0014-4819,1033
0014-4827,1010
0014-4835,728
0014-4851,407
0014-4886,860
0014-4894,585
0014-4940,224
0014-4983,106
0014-5246,962
0014-5483,68
0014-5793,1669
0014-5858,315
0014-6242,109
0014-6897,35
0014-7370,212
0014-8962,46
0014-9187,34
0014-9527,83
0015-0193,936
0015-0282,5065
0015-0541,274
0015-1386,258
0015-1882,757
0015-198X,135
0015-2218,66
0015-2684,253
0015-3230,450
0015-3303,304
0015-3826,176
0015-4040,691
0015-4628,273
0015-5497,120
0015-5632,196
0015-5659,318
0015-5683,176
0015-5691,360
0015-5713,110
0015-573X,5
0015-587X,167
0015-6426,105
0015-718X,166
0015-7325,76
0015-7473,158
0015-749X,299
0015-752X,178
0015-7546,355
0015-7899,41
0015-8208,263
0015-8518,266
0015-9018,286
0015-9301,12
0016-0032,927
0016-1071,94
0016-1128,994
0016-1136,210
0016-2361,3857
0016-2590,73
0016-2663,122
0016-2736,175
0016-3287,325
0016-4127,5
0016-5085,14397
0016-5107,5904
0016-5352,165
0016-5522,44
0016-5751,2890
0016-5875,188
0016-626X,49
0016-6480,832
0016-6707,187
0016-6723,9
0016-6731,1102
0016-6758,469
0016-6928,55
0016-6995,126
0016-7002,159
0016-7029,290
0016-7037,1489
0016-7061,1102
0016-7126,362
0016-7169,55
0016-7185,652
0016-7223,52
0016-7282,113
0016-7363,94
0016-7398,138
0016-7428,222
0016-7525,267
0016-7568,303
0016-7606,324
0016-7622,547
0016-7630,150
0016-7649,275
0016-7746,111
0016-7770,92
0016-7789,59
0016-7878,247
0016-7886,371
0016-7932,414
0016-7940,278
0016-8025,381
0016-8033,1104
0016-8505,316
0016-8521,100
0016-853X,92
0016-8777,109
0016-8831,95
0016-8890,113
0016-8912,208
0016-9013,6900
0016-920X,61
0016-9862,69
0017-0011,450
0017-0461,51
0017-0895,146
0017-095X,89
0017-1298,60
0017-1417,347
0017-2278,439
0017-257X,131
0017-3134,95
0017-3495,150
0017-3835,98
0017-467X,337
0017-4815,142
0017-4947,125
0017-5749,3381
0017-5994,527
0017-6192,461
0017-8055,92
0017-8160,136
0017-8470,534
0017-8748,697
0017-8969,181
0017-9078,731
0017-9124,475
0017-9310,3374
0017-9604,1491
0017-9655,126
0017-9841,35
0018-0092,285
0018-019X,543
0018-0599,36
0018-0661,28
0018-067X,380
0018-0831,155
0018-0971,158
0018-098X,76
0018-1196,921
0018-1439,238
0018-151X,410
0018-1560,391
0018-2141,74
0018-215X,120
0018-2168,455
0018-229X,11
0018-2370,970
0018-246X,191
0018-2613,1731
0018-263X,38
0018-2648,508
0018-2656,140
0018-2680,193
0018-2702,165
0018-2710,100
0018-3768,369
0018-3830,431
0018-4276,341
0018-4306,124
0018-442X,175
0018-5043,438
0018-506X,493
0018-5345,91
0018-5787,496
0018-5809,3
0018-5868,41
0018-6368,203
0018-7070,1047
0018-7143,101
0018-716X,96
0018-7208,249
0018-7259,106
0018-7267,274
0018-7372,11
0018-7828,17
0018-7895,63
0018-8158,1279
0018-8166,180
0018-8646,208
0018-9162,1079
0018-9197,591
0018-9200,1020
0018-9219,759
0018-9235,766
0018-9251,886
0018-926X,2478
0018-9286,1472
0018-9294,1121
0018-9316,325
0018-9340,875
0018-9359,176
0018-9375,754
0018-9383,2274
0018-9391,258
0018-9448,1599
0018-9456,1243
0018-9464,3760
0018-9480,1507
0018-9499,1533
0018-9529,408
0018-9545,2173
0018-9855,372
0019-0365,157
0019-042X,61
0019-0578,708
0019-0829,47
0019-0993,100
0019-1019,306
0019-1035,1416
0019-1442,106
0019-1744,14
0019-2341,35
0019-2805,515
0019-3577,228
0019-4506,115
0019-4646,118
0019-4662,15
0019-4832,1421
0019-5049,717
0019-509X,632
0019-5154,896
0019-5200,269
0019-5235,86
0019-5278,108
0019-5294,46
0019-5308,56
0019-5359,17
0019-5413,366
0019-5456,967
0019-5464,212
0019-5502,212
0019-5529,72
0019-5545,332
0019-557X,198
0019-5588,167
0019-5707,212
0019-6061,670
0019-638X,116
0019-6673,222
0019-7246,87
0019-7262,65
0019-7289,77
0019-7858,218
0019-7939,249
0019-8366,206
0019-8501,488
0019-8676,109
0019-8692,115
0019-9567,1366
0020-0093,86
0020-0190,491
0020-0204,118
0020-0255,2428
0020-0336,141
0020-0697,6
0020-0883,214
0020-1324,744
0020-1383,1824
0020-157X,60
0020-1669,4485
0020-1685,720
0020-1693,1664
0020-174X,133
0020-1812,198
0020-2754,118
0020-2940,284
0020-2967,196
0020-3157,149
0020-3874,127
0020-4277,96
0020-4412,411
0020-5346,152
0020-5850,701
0020-5877,15
0020-5893,191
0020-5907,135
0020-6539,192
0020-6598,161
0020-6814,387
0020-7020,200
0020-7047,170
0020-7063,145
0020-7071,103
0020-7128,522
0020-7136,1828
0020-7144,97
0020-7152,133
0020-7160,506
0020-7179,767
0020-7187,80
0020-7209,96
0020-7217,384
0020-7225,379
0020-7233,337
0020-7276,162
0020-7284,184
0020-7292,1217
0020-7314,162
0020-739X,304
0020-7403,980
0020-7411,76
0020-7438,456
0020-7454,453
0020-7462,548
0020-7489,656
0020-7519,364
0020-7543,1411
0020-7578,432
0020-7594,361
0020-7608,697
0020-7640,259
0020-7659,63
0020-7683,1220
0020-7721,541
0020-7748,1277
0020-7780,137
0020-7829,135
0020-7985,146
0020-8132,254
0020-8167,158
0020-8183,138
0020-8345,138
0020-8523,212
0020-8566,212
0020-8582,119
0020-8590,191
0020-868X,7
0020-8701,28
0020-871X,87
0020-8728,337
0020-8825,77
0020-8833,172
0020-8868,534
0020-9554,520
0020-9643,190
0020-9910,221
0020-9996,327
0021-0862,201
0021-0889,48
0021-1214,182
0021-1265,473
0021-1400,200
0021-1427,144
0021-1575,391
0021-1753,906
0021-1818,101
0021-2148,476
0021-2172,439
0021-2237,82
0021-2776,51
0021-325X,17
0021-3438,272
0021-3454,296
0021-3470,92
0021-3551,151
0021-3624,245
0021-3640,991
0021-3667,64
0021-4027,138
0021-4787,332
0021-4795,101
0021-4876,290
0021-4914,190
0021-4922,4127
0021-4930,38
0021-5015,102
0021-5082,117
0021-5104,39
0021-5147,86
0021-5155,188
0021-5163,315
0021-5236,187
0021-5287,108
0021-5368,99
0021-5384,1116
0021-5392,791
0021-5414,137
0021-5597,33
0021-6704,44
0021-7298,278
0021-7557,320
0021-7670,112
0021-7824,284
0021-8251,111
0021-8286,186
0021-8294,224
0021-8308,79
0021-843X,402
0021-8456,106
0021-8464,248
0021-8499,154
0021-8502,378
0021-8510,104
0021-8537,243
0021-8553,72
0021-8561,4043
0021-857X,155
0021-8588,74
0021-8596,369
0021-8669,582
0021-8693,1528
0021-8715,215
0021-8723,2004
0021-8731,26
0021-8758,671
0021-8774,296
0021-8782,426
0021-8790,441
0021-8812,591
0021-8820,476
0021-8839,204
0021-8855,265
0021-8863,68
0021-8901,653
0021-891X,376
0021-8928,243
0021-8936,398
0021-8944,387
0021-8979,10014
0021-8995,4251
0021-9002,546
0021-9010,368
0021-9029,206
0021-9037,533
0021-9045,353
0021-9096,213
0021-910X,66
0021-9118,665
0021-9142,62
0021-9150,4357
0021-9193,1236
0021-9231,188
0021-924X,308
0021-9258,8051
0021-9266,130
0021-9290,1738
0021-9320,178
0021-9347,136
0021-9355,1241
0021-9371,609
0021-9487,71
0021-9495,72
0021-9517,1043
0021-9525,1381
0021-9533,1472
0021-9541,1052
0021-955X,126
0021-9568,1519
0021-9584,1327
0021-9592,452
0021-9606,7648
0021-9614,1161
0021-9630,480
0021-9665,681
0021-9673,3352
0021-969X,410
0021-972X,2783
0021-9738,1475
0021-9746,660
0021-9762,364
0021-9797,2532
0021-9886,479
0021-9894,165
0021-9916,200
0021-9924,143
0021-9967,686
0021-9975,878
0021-9983,837
0021-9991,2257
0022-0000,348
0022-0027,226
0022-006X,378
0022-0078,110
0022-0094,229
0022-0116,95
0022-0124,372
0022-0167,229
0022-0175,106
0022-0183,176
0022-0221,276
0022-0248,1958
0022-0256,37
0022-0272,138
0022-0299,225
0022-0302,2608
0022-0345,700
0022-0388,458
0022-0396,1286
0022-040X,143
0022-0418,195
0022-0426,82
0022-0434,509
0022-0469,911
0022-0477,508
0022-0485,133
0022-0493,1082
0022-0507,338
0022-0515,271
0022-0531,433
0022-0620,93
0022-0655,92
0022-0663,299
