,5,count,cited,3
335,Physics Procedia,2461,1034,2254
336,PM&R,2457,419,1416
337,Journal of Colloid and Interface Science,2455,2298,19167
338,Atmospheric Chemistry and Physics,2453,2096,13442
339,IOSR Journal of Dental and Medical Sciences,2441,117,136
340,Circulation,2440,1618,27603
341,Journal of Thermal Analysis and Calorimetry,2438,1823,6849
342,Journal of Turkish Studies,2437,23,23
343,Schizophrenia Research,2432,1204,8743
344,Urology,2427,1309,6402
345,Neuroscience,2427,2106,13607
346,Clinical Infectious Diseases,2424,1829,18155
347,Quaternary International,2417,1832,8429
348,Remote Sensing,2416,1991,11369
349,Acta Physica Polonica A,2414,879,1780
350,Journal of Geophysical Research: Atmospheres,2414,1863,9716
351,The Journal of Physical Chemistry Letters,2414,2230,35569
352,PEDIATRICS,2409,1762,16638
353,Heart,2408,822,5483
354,Multimedia Tools and Applications,2404,1078,2802
355,Interactive CardioVascular and Thoracic Surgery,2400,698,2241
356,European Journal of Medicinal Chemistry,2393,2246,17919
357,Frontiers in Immunology,2391,1628,14096
358,Journal of Hazardous Materials,2390,2233,24540
359,Annals of Physical and Rehabilitation Medicine,2381,199,592
360,Plant Disease,2381,1196,3412
361,Evidence-Based Complementary and Alternative Medicine,2381,1537,4492
362,EPL (Europhysics Letters),2378,1710,7819
363,Digestive and Liver Disease,2377,577,2702
364,Advanced Science Letters,2377,236,458
365,Bioinformatics,2375,1817,22826
366,Small,2374,1796,23723
367,ACS Catalysis,2372,2292,39705
368,Biomaterials,2372,2279,38252
369,Journal of Membrane Science,2367,2206,27194
370,Crystal Growth & Design,2363,2094,16340
371,Journal of Geophysical Research: Space Physics,2363,1783,9939
372,Proceedings of the Water Environment Federation,2359,37,41
373,Physica Medica,2357,481,1799
374,Archives of Physical Medicine and Rehabilitation,2353,872,5498
375,Oncology Reports,2352,739,1100
376,Applied and Environmental Microbiology,2337,2000,13539
377,Annals of Emergency Medicine,2336,596,3303
378,Wireless Personal Communications,2334,1123,3417
379,Journal of Biotechnology,2332,1033,5352
380,Information Sciences,2320,2032,19676
381,IOP Conference Series: Earth and Environmental Science,2308,362,564
382,Journal of Medicinal Chemistry,2303,2138,23592
383,BMC Research Notes,2301,1541,4975
384,International Journal of Research in Medical Sciences,2300,118,151
385,Energies,2285,1729,7570
386,Acta Materialia,2284,2045,21900
387,Journal of Craniofacial Surgery,2275,916,2200
388,The American Journal of Emergency Medicine,2272,1224,3930
389,IEEE Transactions on Industrial Electronics,2270,2090,30807
390,Diabetes Research and Clinical Practice,2256,721,4744
391,Journal of Nuclear Materials,2251,1803,9151
392,Journal of Electronic Materials,2249,1334,4406
393,Water Research,2249,2081,24379
394,IFAC Proceedings Volumes,2248,878,1643
395,Annals of Surgical Oncology,2245,1725,10182
396,Materials Chemistry and Physics,2245,1856,8457
397,Journal of Radioanalytical and Nuclear Chemistry,2244,1271,3287
398,Biochemistry,2240,1924,10950
399,Industrial Crops and Products,2238,1956,13041
400,Neuroscience Letters,2224,1736,7869
401,Acta Societatis Botanicorum Poloniae,2219,1301,4588
402,Journal of Luminescence,2216,1915,11384
403,The Journal of the Korea Contents Association,2210,255,389
404,British Journal of Medicine and Medical Research,2210,264,405
405,Transplantation Proceedings,2210,1227,3036
406,Journal of Cardiovascular Magnetic Resonance,2205,535,2628
407,Thorax,2203,614,4524
408,Colloids and Surfaces B: Biointerfaces,2199,2006,15284
409,European Journal of Inorganic Chemistry,2198,1632,7838
410,Im Focus Onkologie,2197,4,4
411,Computers in Human Behavior,2192,1907,13627
412,LWT - Food Science and Technology,2190,1930,10950
413,Microwave and Optical Technology Letters,2188,1049,2638
414,Anesthesia & Analgesia,2187,1074,6847
415,Nuclear Instruments and Methods in Physics Research Section B: Beam Interactions with Materials and Atoms,2185,1552,5113
416,Applied Catalysis B: Environmental,2183,2044,39368
417,IEEE Transactions on Antennas and Propagation,2182,1740,12208
418,British Journal of Dermatology,2170,1499,8346
419,Journal of Instrumentation,2167,1259,4083
420,IEEE Transactions on Vehicular Technology,2163,1611,10857
421,Journal of Fluid Mechanics,2160,1762,10203
422,Journal of Evidence Based Medicine and Healthcare,2159,36,39
423,Powder Technology,2156,1857,11886
424,Molecular Therapy,2153,620,6366
425,Expert Systems with Applications,2152,1955,17118
426,Annals of Internal Medicine,2150,937,12750
427,Bioorganic & Medicinal Chemistry,2144,1818,9905
428,BMC Health Services Research,2141,1409,5754
429,Global Heart,2133,201,686
430,Environmental Monitoring and Assessment,2128,1505,5322
431,J. Mater. Chem. B,2128,1934,15118
432,Psychiatry Research,2128,1633,7996
433,Journal of Ethnopharmacology,2121,1786,10313
434,Journal of Clinical Microbiology,2117,1600,9900
435,Trials,2115,1254,5272
436,Journal of Computational Physics,2111,1670,10705
437,Proceedings of the International Astronomical Union,2105,46,66
438,Journal of Affective Disorders,2103,1848,12659
439,Parasites & Vectors,2100,1645,9867
440,Solid State Phenomena,2094,407,708
441,Materials,2091,1557,7752
442,Nonlinear Dynamics,2090,1629,10194
443,Chemical Communications,2083,2068,39321
444,Resuscitation,2076,941,7729
445,Journal of Physical Therapy Science,2072,1263,3822
446,F1000Research,2067,637,1253
447,Marine Pollution Bulletin,2066,1737,11063
448,Acta Universitatis Agriculturae et Silviculturae Mendelianae Brunensis,2061,561,1071
449,IEEE Transactions on Power Electronics,2053,1926,28719
450,Journal of Cosmology and Astroparticle Physics,2053,1869,17656
451,Advances in Mechanical Engineering,2053,737,1409
452,Organometallics,2048,1906,15502
453,Polym. Chem.,2048,1900,18515
454,Stroke,2047,1568,13503
455,DMW - Deutsche Medizinische Wochenschrift,2046,280,474
456,European Journal of Operational Research,2039,1789,13679
457,Asian Social Science,2038,234,351
458,Optical Engineering,2035,933,2407
459,Chem. Sci.,2028,1957,29373
460,Composites Part B: Engineering,2020,1901,17564
461,Pathology,2007,309,1109
462,BioResources,2002,778,1621
463,Surgical Endoscopy,2000,1399,6873
464,Internal Medicine,1999,1009,2249
465,Journal of Mechanical Engineering,1998,423,681
466,European Journal of Pharmacology,1995,1691,9215
467,American Journal of Public Health,1993,1494,10687
468,Abstract and Applied Analysis,1987,799,1600
469,Acta Geologica Sinica - English Edition,1985,480,1049
470,IEEE Transactions on Electron Devices,1982,1560,8401
471,Computational Materials Science,1980,1634,8625
472,IEEE Photonics Technology Letters,1974,1524,7485
473,Pediatric Critical Care Medicine,1969,607,2931
474,Journal of Lightwave Technology,1962,1556,10416
475,Analytica Chimica Acta,1957,1770,16588
476,Materials Research Bulletin,1951,1693,9439
477,Frontiers in Neuroscience,1949,1265,7702
478,Journal of Oral and Maxillofacial Surgery,1934,849,3398
479,Communications in Statistics - Theory and Methods,1932,479,904
480,Journal of Nanomaterials,1917,1056,2956
481,Cell,1914,1630,64715
482,Journal of the Korean Physical Society,1910,762,1563
483,Polyhedron,1903,1529,6773
484,Environmental Pollution,1896,1699,13913
485,Journal of the American Geriatrics Society,1895,1140,6560
486,JACC: Cardiovascular Interventions,1886,871,7395
487,Brain Research,1885,1567,8459
488,Journal of Digital Convergence,1884,245,361
489,Journal of Crystal Growth,1884,1434,5888
490,Neuromuscular Disorders,1881,410,2071
491,Journal of Pain and Symptom Management,1879,587,3156
492,Physics Letters A,1878,1372,5899
493,European Journal of Hospital Pharmacy,1876,108,170
494,The Laryngoscope,1875,1209,5392
495,Measurement,1870,1360,6592
496,Endoscopy,1866,585,2676
497,The European Physical Journal C,1866,1590,16184
498,JAMA Internal Medicine,1865,1113,12140
499,Behavioural Brain Research,1860,1643,9760
500,Engineering Structures,1859,1549,7364
501,Journal of The Electrochemical Society,1856,1283,4752
502,Journal of Physics A: Mathematical and Theoretical,1854,1275,4966
503,Hepatology,1850,1250,19067
504,Earth and Planetary Science Letters,1847,1614,14091
505,Journal of Controlled Release,1847,1527,19178
506,IEEE Transactions on Plasma Science,1845,1137,3501
507,Fusion Engineering and Design,1843,1188,4270
508,Revue Neurologique,1842,197,614
509,Journal of the American Academy of Dermatology,1839,1169,8315
510,Revue de Chirurgie Orthopédique et Traumatologique,1836,5,5
511,The Lancet Oncology,1833,1015,26234
512,American Journal of Infection Control,1826,853,3465
513,European Journal of Obstetrics & Gynecology and Reproductive Biology,1823,896,3287
514,Nutrients,1822,1452,8973
515,The Journal of Maternal-Fetal & Neonatal Medicine,1821,848,2109
516,Journal of Environmental Management,1819,1481,8870
517,Neurosurgery,1816,911,4908
518,Journal of Cystic Fibrosis,1812,402,2394
519,Proceedings of the Royal Society B: Biological Sciences,1810,1609,14692
520,Veterinary Record,1804,548,1728
521,Thrombosis Research,1802,1097,5213
