2052-336X , 314 , 282 , 1130 , 4.01 , 12
1999-7361 , 389 , 308 , 23 , 0.07 , 2
0143-005X , 10569 , 3383 , 8848 , 2.62 , 33
1746-4269 , 641 , 344 , 2481 , 7.21 , 21
1756-9966 , 1337 , 647 , 6792 , 10.5 , 30
1596-2393 , 166 , 49 , 9 , 0.18 , 2
1322-9400 , 513 , 199 , 322 , 1.62 , 7
2345-7686 , 48 , 48 , 42 , 0.88 , 4
2314-6826 , 36 , 29 , 61 , 2.1 , 5
1757-1146 , 983 , 725 , 1551 , 2.14 , 16
2169-9380 , 3617 , 2310 , 16080 , 6.96 , 33
0733-9410 , 2736 , 0 , 0 , nan , 0
2314-7121 , 16 , 13 , 3 , 0.23 , 1
2251-7316 , 67 , 41 , 49 , 1.2 , 3
2314-6907 , 36 , 29 , 48 , 1.66 , 4
1606-0997 , 395 , 205 , 1025 , 5.0 , 15
1927-1212 , 132 , 97 , 9 , 0.09 , 2
1756-8722 , 843 , 456 , 6334 , 13.89 , 34
2314-6222 , 13 , 11 , 4 , 0.36 , 1
0042-790X , 271 , 156 , 456 , 2.92 , 9
1476-9255 , 508 , 280 , 1849 , 6.6 , 19
1976-913X , 343 , 192 , 1082 , 5.64 , 14
2032-5355 , 228 , 119 , 176 , 1.48 , 6
1536-2442 , 2075 , 1081 , 2669 , 2.47 , 15
2052-0492 , 242 , 138 , 590 , 4.28 , 12
0260-1079 , 218 , 41 , 38 , 0.93 , 3
2233-5951 , 0 , 0 , 0 , nan , 0
1880-8913 , 172 , 56 , 2 , 0.04 , 1
1344-9486 , 682 , 227 , 5 , 0.02 , 1
2186-6147 , 44 , 35 , 0 , 0.0 , 0
1598-4540 , 326 , 284 , 172 , 0.61 , 4
1226-6280 , 1396 , 493 , 901 , 1.83 , 9
1225-9012 , 186 , 144 , 387 , 2.69 , 8
1229-6155 , 66 , 66 , 91 , 1.38 , 4
1225-7591 , 959 , 340 , 324 , 0.95 , 5
1225-097X , 31 , 31 , 6 , 0.19 , 2
2288-7261 , 82 , 48 , 12 , 0.25 , 2
2321-0249 , 85 , 54 , 13 , 0.24 , 1
1803-2427 , 49 , 20 , 23 , 1.15 , 2
2141-6540 , 45 , 22 , 1 , 0.05 , 1
2055-0472 , 147 , 71 , 42 , 0.59 , 3
0742-1222 , 1361 , 246 , 2759 , 11.22 , 25
0022-2445 , 6178 , 477 , 4551 , 9.54 , 29
